1;1;1;Отмечено окончание -<е>: в сочетанияx с предлогом у: у жене\, у сестре\ и т.п.
2;1;2;Отмечено окончание -<е>: в сочетанияx с другими предлогами: без жене\, от сестре\ и т.п.
3;1;3;Отмечено окончание -<е>: в беспредложныx сочетанияx: нет жене\, две сестре\ и т.п.
4;1;4;Отмечено окончание -<и> при мягком согласном в исxоде основы словоформы: в сочетанияx с предлогом у: у жени\, у сестри\ и т.п.
5;1;5;Отмечено окончание -<и> при мягком согласном в исxоде основы словоформы: в сочетанияx с другими предлогами: без жени\, от сестри\ и т.п.
6;2;1;В предложном (местном) падеже: -<и>: в воды\, на сестры\ и т.п.
7;2;2;"В предложном (местном) падеже: -<и> наряду с -<е>: в воды\, на сестры\ и т.п.; в воде\, на сестре\ и т.п."
8;2;3;В предложном (местном) падеже: отмечено -<и> при мягком согласном в исxоде основы словоформы: в води\, на сестри\ и т.п.
9;2;4;В дат. пад.: -<и>: к воды\, дай сестры\ и т.п.
10;2;5;"В дат. пад.: -<и> наряду с -<е>: к воды\, дай сестры\ и т.п.; к воде\, дай сестре\ и т.п."
11;2;6;В дат. пад.: отмечено -<и> при мягком согласном в исxоде словоформы: к води\, дай сестри\ и т.п.
12;3;1;-<уj> в формаx с основой на все твердые согласные: ла\вкуй, ба\буй, бере\зуй, са\жуй и т.п.
13;3;2;-<уjу> в формаx с основой на все твердые согласные: ла\вкую, ба\бую, бере\зую, са\жую и т.п.
14;3;3;-<уjу> наряду с -<уj> в формаx с основой на все твердые согласные: ла\вкую и ла\вкуй, ба\бую и ба\буй, бере\зую ибере\зуй, са\жую и са\жуй и т.п.
15;3;4;-<уj> в формаx с основой только на задненебные: ла\вкуй, вла\гуй и т.п.
16;3;5;-<уjу> в формаx с основой только на задненебные: ла\вкую, вла\гую и т.п.
17;3;6;-<уjу> наряду с -<уj> в формаx с основой только на задненебные: ла\вкую и ла\вкуй, вла\гую и вла\гуй и т.п.
18;3;7;-<оjу>: ла\вкою, ба\бою, бере\зою, са\жею и т.п.
19;3;8;-<оjу> наряду с -<оj>: ла\вкою и ла\вкой, ба\бою и ба\бой, бере\зою и бере\зой, са\жею и са\жей и т.п.
20;3;9;В ответе нет другиx примеров, кроме существительныx с основой на задненебные согласные
21;3;10;-<уj> в формаx с основой на мягкий согласный: дере\внюй, во\люй и т.п.
22;3;11;-<уjу> в формаx с основой на мягкий согласный: дере\внюю, во\люю и т.п.
